bowlsboard on table beside counter beside wall-tile-tile-tile,towel on wall-tile
person walking on gravel road beside gravel road,person beside fence-merged
train driving on railroad railroad railroad railroad railroad railroad railroad railroad,train on railroad
sheep walking on grass on grass grass grass grass grass grass grass grass grass,sheep eating grass-merged
person wearing tie wearing,person carrying backpack
grass-treegedmer-gedgedgedgedged-mer-mer,fence-merged beside road
car parked on pavement beside road beside road,car parked on pavement-merged
person walking on road on road,person walking on road
train driving on railroad railroad railroad railroad railroad railroad railroad railroad,train driving on railroad
cow walking on dirt dirt dirt dirt dirt dirtgedgedgedgedgedged,horse standing on dirt-merged
person sitting on on bench on bench,person sitting on bench
person looking at person at person,person beside person
person catching frisbee frisbee ball ball ball ball ball ball ball,person looking at frisbee
motorcyclecyclecycle driving on road on road,motorcycle driving on road
bus driving on road on road,bus driving on road
person running on playing playingfield playingfield playingfield,person standing on playingfield
horse pulling horse horse horse,horse running on sand
truck parked on pavement on pavement pavement-mergedgedgedgedged,truck on pavement-merged
person standing on surfboardboardboardboardboardboardboardboard,person on surfboard
elephant standing on dirt dirt dirt dirt-mergedgedgedgedged,elephant standing on dirt-merged
cow eating grass on grass on-mergedgedgedgedgedgedged,cow on grass-merged
person looking at at person at,person looking at person
elephant standing on dirt dirt dirt dirt dirtgedgedgedgedgedged,elephant lying on dirt-merged
platform on pavement on pavement on pavement on pavementgedgedgedgedgedged,umbrella on pavement-merged
person carrying backpack carrying backpack,person holding snowboard
person walking on road on road,person running on pavement-merged
person wearing baseball glove wearing baseball glove glove glove glove glove glove glove glove glove,person wearing baseball glove
person standing on sea sea,person beside sea
sky-other----mer-ged-ged-other-,sky-other-merged over building-other-merged
person standing on sea,person beside sea
person looking at bowl of cake bowl bowl bowl bowl bowl bowl bowl bowl bowl,person looking at pizza
sports ball on sports ball ball ball ball ball ball ball ball ball ball ball,person picking flower
truck driving on road on gravel roadmergedgedgedgedgedged,car driving on road
paper-stone wall in front of house beside wall-stone wall-stone,person in front of house
car driving on road on road,car driving on road
cardboard beside laptop on dining table,oven on sink
person swinging tennis racket tennis racket racket racket racket racket racket racket racket racket,person holding tennis racket
person looking at at person at,person looking at person
person standing on floor rug rug rug rug rug rug ruggedgedgedged,person wearing floor-wood
elephant looking at elephant at elephant elephant elephant elephant elephant elephant,elephant over elephant
person beside person beside,person cleaning motorcycle
bannerboard attached to skis wearing skis wearing skis,fence-merged on skis
sky-other-other-window over house on wall wall wall wall wall,sky-other-merged over building-other-merged
person sitting on bench wearing backpack,person wearing baseball glove
car parked on pavement on pavement beside road,car parked on road
wall-other-other-tile-tile-tile-tile-tile,wall-tile attached to person
fence in front of grass beside grass beside grass beside-mergedged,fence-merged on grass-merged
sky-other----mer-mer-mer-mer-,sky-other-merged over mountain-merged
horse running on gravel beside pavement beside pavement beside pavementgedgedgedgedged,horse in front of fence-merged
person sitting on bench bench,person sitting on bench
cow standing on road on road,cow walking on road
person on horse,person riding horse
truck driving on road on road,truck driving on road
traffic light on road on road,traffic light over road
sky-other-other-sky overcast sea overcast sea,sky-other-merged over sea
kite flying over kite over kite overotherotherotherother,boat driving on sea
door-doorway attached to to wall to wall-otherotherotherother,wall-stone beside door-stuff
railroad on railroad railroad railroad railroad railroad railroad railroad railroad railroad,railroad on gravel
person riding horse on,person riding horse
zebra standing on dirt on dirt-merged-merged,zebra walking on dirt-merged
person standing on dirt pavement beside dirt-mergedgedgedgedgedged,person standing on dirt-merged
light hanging from ceiling from ceiling lightlight-merged-gedgedged,light on ceiling-merged
person holding suitcase suitcase,person holding suitcase
person holding handbagbagbagbagbagbagbag,person wearing truck
person standing on surfboardboardboardboardboardboardboardboard,person playing surfboard
sky-other-other-sky over sea over sea,sky-other-merged on sea
person walking on railroad platform stairs,person standing on railroad
person standing on skis on snowboardis,person standing on skis
dog looking at car beside car,dog on truck
car parked beside car beside car,car beside car
building-other----mer-mer-mer-mer-,building-other-merged beside pavement-merged
person in front of building at building building building building building building building building,person in front of building-other-merged
bear beside bear beside person,bear looking at bear
person looking at kite kite kite kite,person pulling kite
person riding bicycle bicycle bicycle,person guiding bicycle
tree-tree-gedgedgedgedgedged grass grass grass grass grass,tree-merged on grass-merged
person wearing baseball glove glove glove glove glove glove glove,person wearing baseball glove
person looking at tree in tree--merged-merged-mer,person in front of tree-merged
person standing on sea,person on sea
elephant standing on pavement beside-otherotherotherothermergedgedged,elephant standing on dirt-merged
person lying on blanket on blanket on blanket,person in blanket
tree-tree beside giraffe beside zebraebraebraebraebraebraebra,tree-merged attached to zebra
bus driving on to bus on,road on bus
sky-other-other-sky over sea over sea,sky-other-merged over sea
person lying on sand on sand,person lying on sand
person holding surfboard kiteboard kiteboard,person standing on surfboard
person holding cell phone to phone,person holding handbag
person on skateboardboardboardboardboardboardboardboardboardboard,person riding skateboard
grass enclosing attached to person beside person beside person,counter on person
person holding paper paper paper paper paper paper paper papergedgedgedgedged,person holding paper-merged
person standing on surfboardboardboardboardboardboardboard,person riding surfboard
person walking on pavement on pavement pavement pavement-mergedgedgedgedged,person walking on pavement-merged
person standing on sand on sand,person on sand
zebra standing beside zebraebraebraebraebraebraebraebraebra,zebra looking at zebra
airplane parked on pavement on pavement on,airplane parked on pavement-merged
mouse on dining table on table table table,cake on dining table
ceiling--merceilinggedgedgedgedgedgedgedged,light attached to ceiling-merged
sky-other-----ged-ged-brick-,sky-other-merged on person
car parked beside motorcycle beside motorcycle beside car,person on motorcycle
train parked on gravel beside gravel beside gravel railroad railroad railroad railroad railroad railroad railroad,building-other-merged beside railroad
motorcyclecycle parked on pavement on pavement pavement pavement pavementgedgedged,motorcycle parked on road
person standing on surfboardboardboardboardboardboardboard,person playing surfboard
curtaintain hanging from curtain beside curtain beside,curtain attached to person
bear lying on rock wall beside rock wallotherotherothermergedgedged,bear in front of wall-stone
bus driving on road on road,bus on road
truck parked on pavement on pavement pavement pavement pavement pavement pavement pavement,truck on road
person beside tree beside tree beside tree beside-mergedgedgedgedged,person in front of tree-merged
elephant beside elephant beside elephant,elephant beside elephant
person attached to bicycle bicycle,person on bicycle
person wearing tie,person wearing tie
dog beside dog beside,dog biting dog
person holding skateboard skateboardboardboardboardboard,person playing skateboard
horse in front of horse in horse in horse in horse,horse attached to horse
kite flying over sea over,airplane flying over sea
bus in front of building beside building beside building-otherotherotherothermer,bus beside building-other-merged
train driving on railroad platform platform platform platform platform platform platform platform platform,train beside pavement-merged
person beside building beside building beside building-otherotherotherotherothermermer,person in front of building-other-merged
zebra standing beside zebraebraebraebraebraebraebraebraebra,zebra in front of zebra
person wearing baseball glove glove glove glove glove glove glove glove glove,person wearing baseball glove
paper plant plant hanging from wall from wall wall wall wall wall wall wall wall,pillow leaning on wall-other-merged
person holding tennis racket tennis racket ball ball ball ball ball ball ball ball ball,person holding tennis racket
person beside chair beside chair,person beside person
person beside person beside,person talking to person
pavement-brick attached toick attached to wall wall wall wall wall,grass-merged attached to wall-stone
person beside person beside,person talking to person
train driving on railroad platform platform platform platform platform platform platform platform platform platform,train beside pavement-merged
dirt-mer-gedgedgedgedgedged grass grass grass grass,grass-merged on dirt-merged
person looking at person at person,laptop in front of person
rug-wood attached to to floor beside-otherotherotherotherotherother,floor-other-merged on pavement-merged
person wearing tie wearing handbag chair chair chair chair chair chair chair chair chair,person sitting on chair
skis in front of building beside building building building building building building building,bench beside house
person holding sandwich dog dog dog dog dog dog dog dog dog,person holding cup
zebra standing on dirt pavement on dirt-merged-mergedged,zebra standing on dirt-merged
person pulling suitcase suitcase suitcase,person carrying handbag
couch attached to wall wall wall wall-otherotherotherotherotherother,couch attached to curtain
person standing on grass playing on grass playing onmergedgedgedgedged,person standing on playingfield
paperbag hanging from grass on grass grass grass grass grass grass grass grass grass,handbag over grass-merged
person riding horse at horse,person riding horse
cup of dining table on dining table table on table,bowl on dining table
person holding toothbrush toothbrushbrushbrushbrushbrush,person looking at toothbrush
person standing on surfboardboardboardboardboardboardboardboard,person on surfboard
surfboard in sea of,surfboard on sea
person carrying handbagbagbagbagbagbagbag,person carrying handbag
suitcase attached to backpack attached to person holding person,suitcase beside person
banner hanging from building from building building building-otherotherotherothermer,fence-merged on building-other-merged
fence in-pavement in front of person in person,fence-merged enclosing person
fence--mer-mer enclosing front of house house house house,fence-merged in front of window-other
person holding remote remote remote remote remote remote,person holding remote
sky-other-other-sky over-sky over-sky over-,sky-other-merged over building-other-merged
person standing on sand on sand,person walking on pavement-merged
umbrella standing on dirt on sand-merged-mergedgedged,person standing on sea
person in front of of of of tree tree tree tree tree tree tree,person in front of tree-merged
person walking on pavement on pavement pavement pavement pavement pavement pavement pavement,person walking on platform
person in bus driving bus,person on bus
benchnerner table beside building beside building beside building-merged-mer,bench beside platform
sheep walking on dirt road on gravel roadmergedgedgedgedged,sheep standing on road
person standing on surfboardboardboardboardboardboard,person standing on surfboard
person beside couch beside couch beside couch,person beside person
person sitting on sand on sand,person sitting on blanket
person standing on dirt pavement pavement pavement pavement pavement,person standing on grass-merged
person pulling kite kite kite kite,person looking at kite
playing on playing on playingfield playingfieldfieldfieldfieldfieldfieldfieldfield,playingfield beside floor-other-merged
person walking on pavement pavement pavement pavement pavement-mergedgedgedged,person on pavement-merged
sky-other----mer-mer-sky over-,sky-other-merged over airplane
cabinet attached to wall beside wall-otherotherotherotherotherother,bed attached to wall-other-merged
road attached to pavement beside pavement pavement pavement pavement pavement pavementgedgedgedged,road on pavement-merged
person sitting on pavement pavement pavement pavement pavement pavement,motorcycle parked on road
person standing on snowboard on snow,person on snow
building-tree in front of tree in front of tree in front of tree,house on tree-merged
cat lying on person person,cat on person
tree-tree beside road beside road beside,tree-merged attached to road
person looking at teddy bear bear bear bear bear bear bear bear,person slicing fruit
sky-other----mer- overcast overcast overcast,sky-other-merged over sand
person walking on pavement on pavement pavement pavement pavement pavementgedgedgedgedged,person walking on pavement-merged
person sitting on floor on counter-tile-tile-tile-,person leaning on table-merged
light hanging from wall over wall over wall over wall,light on building-other-merged
person sitting on chair beside chair,truck attached to truck
person holding remote remote remote remote remote remote,person holding remote
sky-other-other-sky over-tree over-tree over-,sky-other-merged over tree-merged
grass-grass enclosinggedgedgedgedgedgedgedgedgedged,grass-merged attached to railroad
sky-other-other-sky over-sky over-sky over-,sky-other-merged over building-other-merged
person standing on pavement on road,truck attached to pavement-merged
person leaning on tree beside tree--merged-mergedgedged,giraffe leaning on tree-merged
person riding horse on,person riding horse
horse running on grass on grass-merged-mergedgedgedged,horse walking on grass-merged
person carrying handbagbagbagbagbagbagbagbagbagbagbag,person carrying handbag
truck driving on road on road,truck on road
person standing on boat on,person standing on boat
motorcyclecycle driving on road on road road,motorcycle driving on road
person standing on surfboardboardboardboardboardboard,person on surfboard
person holding knife knife knife knife knife knife,person looking at cell phone
skateboard driving on pavement on dirt pavement-mergedgedgedged,skateboard on pavement-merged
bicycle parked on pavement on pavement floor-otherotherotherothermermer,motorcycle parked on pavement-merged
person carrying handbagbagbagbagbagbagbagbag,person carrying backpack
snowboardboard flying over snow on snow-mergedgedgedged,snowboard over mountain-merged
boat driving on river,boat in river
train driving on pavement beside pavement beside-mergedgedgedgedgedged,bus driving on road
keyboard attached to table on----,laptop on table-merged
person holding umbrella,person holding umbrella
boat in sea on river,boat on sea
person holding remote remote remote remote remote remote remote,person holding remote
person on surfboardboardboardboardboardboardboardboardboard,person touching surfboard
person beside person beside person,person looking at person
sea-surfboard attached to surfboardboardboardboardboardboardboard,sea enclosing person
person looking at elephant at elephant,person feeding elephant
bottle beside bottle beside bottle beside bottle,bottle beside bottle
zebra standing on grass on grass-merged-mergedgedged,zebra standing on grass-merged
person jumping over grass over grass over grassgedgedgedgedgedgedged,person over playingfield
pavement attached to pavement beside grass beside pavement beside-mergedgedged,pavement-merged beside road
train driving on railroad railroad,train driving on railroad
person holding tennis racket tennis racket racket racket racket racket racket,person holding tennis racket
zebra standing on grass on grass-mergedgedgedgedgedged,zebra running on grass-merged
sky-other----- over over over over,sky-other-merged over pavement-merged
person leaning on skateboard beside bench beside bench,person playing skateboard
person in front of sea,person on sea
person playing with person beside,person beside person
person holding skis in snowboardboardboardboardboardboardboardboardboard,person carrying skis
elephant beside elephant beside elephant,elephant beside elephant
person holding umbrella umbrella umbrella,person holding umbrella
table-board in front of counter in counter-tile-tile-tile,shelf on bottle
person driving on airplane airplane,person driving airplane
tree-tree beside giraffe beside bird bird bird bird birdbirdbirdbird,tree-merged in front of sheep
person in car beside car,person beside car
sky-other----mer-mer over-mer-mer,sky-other-merged over building-other-merged
truck parked on road on road,truck parked on road
person sitting on chair on chair,person sitting on chair
person walking on pavement on pavement on-mergedgedgedgedgedged,person walking on pavement-merged
person riding bicycle bicycle,person riding bicycle
dirt-dirt besideosing beside beside beside,grass-merged beside train
sandwich in sea beside sea,sand attached to sea
person walking on pavement on pavement-merged-mergedgedgedged,person on pavement-merged
sky-other----mer-mer-sky over-,sky-other-merged over sea
airplane parked beside airplane stairs stairs stairs stairs stairs stairs stairs,airplane in front of truck
person holding tennis racket tennis racket racket racket racket racket,person holding tennis racket
person looking at kite kite kite kite k,person chasing kite
sky-other-other-sky oversky oversky over,sky-other-merged over airplane
zebra looking at grass in dirt-merged-mergedgedged,zebra beside dirt-merged
pillow lying on couch on couch,sports ball on couch
person lying on dining table table table table table table,person beside dining table
kite flying over grass over grass over-merged-merged-,airplane over grass-merged
person holding tennis racket racket racket racket racket racket racket racket racket racket racket,person holding tennis racket
person beside person beside person,person beside person
person looking at at person at person,person looking at person
person holding umbrella holding,person holding umbrella
bus parked beside of person beside of,bus beside person
horse beside horse beside horse,giraffe beside giraffe
cell phone on dining table dining table dining table table table table table table table,cell phone on dining table
person looking at at person at,person looking at person
person sitting on table beside table,couch attached to table-merged
car parked beside road beside pavement beside pavement beside pavementgedgedgedgedged,motorcycle on road
zebra looking at zebraebraebraebraebraebraebraebra,zebra beside zebra
person holding remote remote remote,person holding frisbee
person looking at car beside car,person driving car
floor-other-other beside beside beside beside beside,wall-stone enclosing bear
person beside person beside,person beside person
banner on road beside road on road,bicycle parked on pavement-merged
person playing with surfboardboardboardboardboardboard,person playing surfboard
fence--mer-mer in front of front of tree tree tree,fence-merged in front of tree-merged
person wearing skis,person picking skis
person standing on grass on grass-merged-mergedgedgedged,person standing on grass-merged
zebra beside zebraebraebraebraebraebraebraebraebra,zebra beside zebra
person riding horse on,person on back of horse
person looking at window at window-blind-blind-blind-,person in front of building-other-merged
person standing on pavement beside pavement beside pavement-gedgedgedgedgedged,car parked on road
kite flying over grass over grass over-mergedgedgedgedged,kite over grass-merged
person wearing tie,person wearing tie
sky-other-other-sky over-sky over-sky over-,sky-other-merged over roof
bowl on dining table on table,book on table-merged
person beside airplane beside airplane,person in front of airplane
person holding baseball bat baseball glove glove glove glove glove glove,person catching sports ball
sky-other----mer-ged- grass-mer-,sky-other-merged over tree-merged
person walking on platform platform platform platform platform platform platform platform,person standing on platform
clock beside clock beside truck beside truck beside,building-other-merged beside tent
person looking at at person at,person beside person
platform on pavement beside road beside road beside road,platform on pavement-merged
sky-other---sky over mountain mountain mountain mountain mountain mountain mountain,sky-other-merged over mountain-merged
surfboardboard in sea with surfboardboardboardboardboardboardboard,surfboard on sea
person on to sea,person looking at sea
person in front of tree in tree in tree-mergedgedgedged,person in front of tree-merged
carrot on dining table beside dining table beside table,bowl on table-merged
sky-other----mer-ged-tree-tree-,sky-other-merged over tree-merged
bus driving on pavement pavement pavement pavement pavement pavement pavement pavement pavement pavement pavement,train entering platform
tree-tree-treegedgedgedged-mer-mermermer,tree-merged enclosing elephant
person in front of bus on bus on bus on,chair in bus
mirror-blind hanging from wall from wall-otherotherotherotherother,window-blind on wall-other-merged
person holding tennis racket tennis racket racket racket racket racket,person holding tennis racket
sky-other----mer-ged- building- building-,sky-other-merged over building-other-merged
person standing on snow on snow on snow,person climbing snow
person on skateboardboardboardboardboardboardboardboardboardboard,person on skateboard
grass-grass enclosing enclosing enclosingosing tree-mer-mer,grass-merged in front of tree-merged
grass-tree-mer-gedgedgedged beside train,grass-merged beside train
fence----ged on road beside road,fence-merged on pavement-merged
sky-other----mer- over- snow-,sky-other-merged over snow
person eating hot dog dog dog dog dog dog dog dog,person eating hot dog
person beside bowl of cake beside chair beside chair,person looking at paper-merged
person wearing baseball glove glove glove glove glove glove,person wearing bottle
person standing on floor floor floor-otherotherotherothermermermermer,person on floor-other-merged
bench on snow on snow on snow on snow,bench on snow
sky-other---mer-mer-mer-mer-mer,sky-other-merged over mountain-merged
person holding surfboard holding surfboard,person carrying surfboard
building-other-building-mer-mer-mer-mer-mer,building-other-merged beside pavement-merged
person standing on surfboardboardboardboardboardboardboard,person standing on surfboard
person holding cell phone to cell phone,person holding cell phone
buildingruck parked on road beside road on road,building-other-merged beside road
toothbrush attached to toothbrushbrushbrushbrushbrushbrushbrush,toothbrush in front of person
person looking at building building building-otherotherotherothermergedgedged,person exiting tent
cow walking on grass on grass-merged-mergedgedgedged,sheep standing on grass-merged
person riding bicycle beside,person riding bicycle
traffic light hanging from building beside building building building building building building building building,traffic light on fence-merged
person looking at horse at,person looking at horse
bicycle parked on pavement on pavement pavement pavement pavementgedgedgedgedged,bicycle parked on pavement-merged
person jumping over playing on pavement pavement pavement pavement pavement pavement,person standing on playingfield
cabinet attached to elephant beside elephant beside,chair on back of elephant
truck in front of truck in front of truck truck truck truck truck truck,car beside truck
person standing on pavement pavement pavement pavement pavement-mergedgedgedged,person walking on pavement-merged
horse standing on grass grass grass grass grass grassgedgedgedgedged,horse standing on grass-merged
person standing on playing playingfield playingfield,person standing on playingfield
sky-other-other-sky over-tree over-tree-mer,sky-other-merged over tree-merged
person jumping over platform over platform over platform over platform over,person standing on platform
person looking at giraffe at giraffeaffeaffeaffeaffe,bird on giraffe
tie in front of person beside,person guiding person
person in front of mountain of mountain mountain mountain mountain mountain mountain mountain mountain mountain,person looking at mountain-merged
person on snowboardboardboardboardboardboardboardboardboardboard,person standing on snowboard
person walking on pavement pavement pavement pavement pavement pavement pavementgedgedgedged,person on pavement-merged
person in front of of of of wall wall wall wall wall wall wall wall,person attached to wall-other-merged
keyboard attached to laptop on laptop,keyboard attached to laptop
bird walking on floor on floor floor floor floor floor floor floor floor,bird walking on floor-wood
handbagged on pavement on pavement pavement pavement pavement pavement pavement pavement pavement pavement,handbag on pavement-merged
person in front of wall of building wallotherotherotherotherother,person looking at playingfield
sheep beside sheep sheep sheep sheep sheep sheep sheep,sheep playing with sheep
